KEGG	EntrezID	GeneSymbol	UNIPROT	HGNC	ENSEMBL	REFSEQ_PROTEIN	REFSEQ_RNA
hsa:1	1	A1BG	Q68CK0	5	ENSG00000121410	NP_570602	NM_130786
hsa:2	2	A2M	Q59F47	7	ENSG00000175899	XP_006719119	XM_006719056
hsa:3	3	A2MP1		8	ENSG00000256069		
hsa:9	9	NAT1	O15300	7645	ENSG00000171428	NP_001153642	NM_001160171
hsa:10	10	NAT2	Q13146	7646	ENSG00000156006	NP_000006	NM_000015
hsa:11	11	NATP		15			
hsa:12	12	SERPINA3	Q2TU88	16	ENSG00000196136	NP_001076	NM_001085
hsa:13	13	AADAC	Q8N1A9	17	ENSG00000114771	XP_005247160	XM_005247104
hsa:14	14	AAMP	Q96H92	18	ENSG00000127837	NP_001078	NM_001302545
hsa:15	15	AANAT	J3KMZ5	19	ENSG00000129673	NP_001160051	NM_001088
hsa:16	16	AARS	B4DR45	20	ENSG00000090861	XP_006721216	XM_006721153
hsa:17	17	AAVS1		22			
hsa:18	18	ABAT	Q96BG2	23	ENSG00000183044	NP_001120920	XM_005255154
hsa:19	19	ABCA1	Q9UN07	29	ENSG00000165029	XP_005251835	XM_005251773
hsa:20	20	ABCA2	Q5W9G5	32	ENSG00000107331	NP_001597	XM_006716996
hsa:21	21	ABCA3	B2RU09	33	ENSG00000167972	NP_001080	NM_001089
hsa:22	22	ABCB7	Q5VWY8	48	ENSG00000131269	NP_001258627	NM_001271699
hsa:23	23	ABCF1	A2BF75	70	ENSG00000204574	NP_001020262	NM_001025091
hsa:24	24	ABCA4	Q4LE31	34	ENSG00000198691	NP_000341	NM_000350
hsa:25	25	ABL1	Q13870	76	ENSG00000097007	NP_009297	NM_007313
hsa:26	26	AOC1	C9J690	80	ENSG00000002726	NP_001082	NM_001272072
hsa:27	27	ABL2	Q5T0X6	77	ENSG00000143322	NP_005149	NM_001136001
hsa:28	28	ABO	B0JDB9	79	ENSG00000175164	NP_065202	NM_020469
hsa:29	29	ABR	D3DTH3	81	ENSG00000159842	XP_006721573	XM_006721508
hsa:30	30	ACAA1	G5E935	82	ENSG00000060971	NP_001598	NM_001607
hsa:31	31	ACACA	Q7Z2G8	84	ENSG00000278540	NP_942135	NM_198837
hsa:32	32	ACACB	Q1HEC1	85	ENSG00000076555	XP_005253933	NM_001093
hsa:33	33	ACADL	Q8IUN8	88	ENSG00000115361	XP_005246574	NM_001608
hsa:34	34	ACADM	Q9NYF1	89	ENSG00000117054	NP_001272971	NM_001286043
hsa:35	35	ACADS	P78331	90	ENSG00000122971	NP_000008	NM_000017
hsa:36	36	ACADSB	Q96CX7	91	ENSG00000196177	NP_001600	NM_001609
hsa:37	37	ACADVL	Q8WUL0	92	ENSG00000072778	NP_001257376	NM_001033859
hsa:38	38	ACAT1	G3XAB4	93	ENSG00000075239	XP_006718897	XM_006718835
hsa:39	39	ACAT2	Q8TDM4	94		NP_005882	NM_005891
hsa:40	40	ASIC2	Q8N3E2	99	ENSG00000108684	NP_899233	NM_183377
hsa:41	41	ASIC1	E5KBL7	100	ENSG00000110881	NP_001086	NM_001095
hsa:43	43	ACHE	Q86YX9	108	ENSG00000087085	NP_001269378	NM_000665
hsa:46	46	ACLS		114			
hsa:47	47	ACLY	B4DIM0	115	ENSG00000131473	NP_001290204	NM_001303274
hsa:48	48	ACO1	Q5VZA7	117	ENSG00000122729	NP_001265281	XM_005251476
hsa:49	49	ACR	Q6ICK2	126	ENSG00000100312	NP_001088	NM_001097
hsa:50	50	ACO2	Q6FHX0	118	ENSG00000100412	NP_001089	NM_001098
hsa:51	51	ACOX1	Q15101	119	ENSG00000161533	NP_009223	NM_001185039
hsa:52	52	ACP1	Q16035	122	ENSG00000143727	NP_001035739	NM_004300
hsa:53	53	ACP2	Q9BTU7	123	ENSG00000134575	NP_001289419	XM_005252985
hsa:54	54	ACP5	Q2TAB1	124	ENSG00000102575	NP_001104504	NM_001111035
hsa:55	55	ACPP	Q96QK9	125	ENSG00000014257	NP_001278966	NM_001134194
hsa:56	56	ACRV1	Q53FF4	127	ENSG00000134940	NP_064454	NM_001612
hsa:58	58	ACTA1	Q5T8M9	129	ENSG00000143632	NP_001091	NM_001100
hsa:59	59	ACTA2	Q6FI19	130	ENSG00000107796	NP_001135417	NM_001613
hsa:60	60	ACTB	P70514	132	ENSG00000075624	XP_006715827	NM_001101
hsa:62	62	ACTBP2		135			
hsa:63	63	ACTBP3		136			
hsa:64	64	ACTBP4		137			
hsa:66	66	ACTBP6		139			
hsa:67	67	ACTBP7		140			
hsa:68	68	ACTBP8		141			
hsa:69	69	ACTBP9		142			
hsa:70	70	ACTC1	P04270	143	ENSG00000159251	NP_005150	NM_005159
hsa:71	71	ACTG1	P99022	144	ENSG00000184009	XP_006722112	XM_006722049
hsa:72	72	ACTG2	Q504R1	145	ENSG00000163017	NP_001606	NM_001615
hsa:73	73	ACTG1P1		146			
hsa:74	74	ACTG1P2		147			
hsa:75	75	ACTG1P3		148			
hsa:100462767	100462767	ACTBP12		150			
hsa:78	78	ACTG1P6		151			
hsa:79	79	ACTG1P7		152			
hsa:80	80	ACTG1P8		153			
hsa:81	81	ACTN4	D6PXK4	166		XP_005259339	XM_005259281
hsa:82	82	ACTG1P9		154			
hsa:83	83	ACTG1P10		155			
