"V1" "V2"
"1" "1956" "3265"
"2" "1956" "3655"
"3" "1956" "3691"
"4" "1956" "1950"
"5" "1950" "1956"
"6" "1950" "3265"
"7" "1950" "3655"
"8" "1950" "3691"
"9" "3552" "3655"
"10" "2064" "3265"
"11" "3688" "6198"
"12" "3688" "928"
"13" "3688" "3655"
"14" "3912" "3915"
"15" "3912" "284217"
"16" "3912" "3908"
"17" "3912" "3909"
"18" "3912" "3910"
"19" "3912" "3911"
"20" "3915" "284217"
"21" "3915" "3908"
"22" "3915" "3909"
"23" "3915" "3910"
"24" "3915" "3911"
"25" "3915" "3912"
"26" "3915" "3913"
"27" "3691" "207"
"28" "3691" "3265"
"29" "3691" "5290"
"30" "3691" "5295"
"31" "3691" "5578"
"32" "3691" "6464"
"33" "3691" "1950"
"34" "3691" "1956"
"35" "3691" "3655"
"36" "5578" "3655"
"37" "5578" "3691"
"38" "2065" "207"
"39" "3655" "207"
"40" "3655" "3265"
"41" "3655" "3688"
"42" "3655" "3691"
"43" "3655" "5290"
"44" "3655" "5295"
"45" "3655" "6198"
"46" "3655" "6464"
"47" "3655" "928"
"48" "3655" "1950"
"49" "3655" "1956"
"50" "3655" "5578"
"51" "3908" "3912"
"52" "3908" "3913"
"53" "3908" "3915"
"54" "284217" "3912"
"55" "284217" "3915"
"56" "5295" "5879"
"57" "5295" "6464"
"58" "5295" "3655"
"59" "5295" "5290"
"60" "6464" "2885"
"61" "6464" "3655"
"62" "6464" "3691"
"63" "6464" "5290"
"64" "6464" "5295"
"65" "207" "2065"
"66" "207" "3655"
"67" "207" "3691"
"68" "5290" "5295"
"69" "5290" "5879"
"70" "5290" "6464"
"71" "5290" "3655"
"72" "840" "3655"
"73" "840" "3691"
"74" "3913" "3915"
"75" "3913" "3908"
"76" "3913" "3911"
"77" "3918" "3909"
"78" "3918" "3914"
"79" "3909" "3912"
"80" "3909" "3914"
"81" "3909" "3915"
"82" "3909" "3918"
"83" "928" "3655"
"84" "928" "3688"
"85" "3911" "3912"
"86" "3911" "3913"
"87" "3911" "3915"
"88" "3910" "3912"
"89" "3910" "3915"
"90" "2885" "6464"
"91" "3914" "3918"
"92" "3914" "3909"
