"V1" "V2"
"1" "655" "196385"
"2" "6901" "196385"
"3" "7158" "196385"
"4" "7158" "23217"
"5" "79020" "51599"
"6" "79020" "90161"
"7" "79020" "6901"
"8" "79020" "9049"
"9" "79020" "1129"
"10" "79020" "6731"
"11" "79020" "22871"
"12" "79020" "3060"
"13" "79020" "8707"
"14" "79020" "80835"
"15" "79020" "84844"
"16" "79020" "377841"
"17" "79020" "3811"
"18" "79020" "388567"
"19" "79020" "22884"
"20" "79020" "1182"
"21" "79020" "10576"
"22" "79020" "5288"
"23" "79020" "26253"
"24" "79020" "10296"
"25" "79020" "400224"
"26" "79020" "288"
"27" "79020" "10956"
"28" "79020" "81848"
"29" "79020" "254531"
"30" "79020" "1572"
"31" "79020" "90407"
"32" "79020" "88455"
"33" "79020" "29979"
"34" "79020" "196385"
"35" "79020" "7158"
"36" "196385" "22871"
"37" "196385" "84844"
"38" "196385" "79020"
"39" "196385" "3811"
"40" "196385" "22884"
"41" "196385" "1182"
"42" "196385" "143282"
"43" "196385" "5288"
"44" "196385" "400224"
"45" "90407" "196385"
"46" "29979" "196385"
"47" "8707" "8707"
"48" "114131" "196385"
"49" "375307" "196385"
"50" "6749" "196385"
"51" "114815" "10956"
"52" "10956" "196385"
"53" "10956" "79020"
"54" "377841" "79020"
"55" "400224" "196385"
"56" "254531" "196385"
"57" "1572" "196385"
"58" "1572" "79020"
"59" "10369" "8707"
"60" "288" "196385"
"61" "3811" "196385"
"62" "79020" "10369"
"63" "196385" "9049"
"64" "10576" "196385"
"65" "196385" "8707"
"66" "196385" "90161"
"67" "196385" "26253"
"68" "196385" "6901"
"69" "196385" "10576"
"70" "3811" "79020"
"71" "22871" "10576"
"72" "196385" "7158"
"73" "7158" "81848"
"74" "196385" "6731"
"75" "84856" "196385"
"76" "23217" "26253"
"77" "114131" "26253"
"78" "7158" "50945"
"79" "3811" "23217"
"80" "79020" "114815"
"81" "79020" "338773"
"82" "79020" "171482"
"83" "29979" "114815"
"84" "90161" "79020"
"85" "377841" "196385"
"86" "196385" "90407"
"87" "3060" "79020"
"88" "85437" "79020"
"89" "7158" "79020"
"90" "79074" "84844"
"91" "7158" "5288"
"92" "81848" "196385"
"93" "79020" "5217"
"94" "6731" "23217"
"95" "29979" "90161"
"96" "392360" "196385"
"97" "85437" "196385"
"98" "377841" "7158"
"99" "7083" "143282"
"100" "377841" "3060"
"101" "23217" "143282"
"102" "8707" "29979"
"103" "79020" "655"
"104" "196385" "7784"
"105" "81848" "3060"
"106" "3060" "80835"
"107" "196385" "50945"
"108" "23424" "377841"
"109" "23217" "85437"
"110" "23424" "22884"
"111" "79020" "392360"
"112" "196385" "1509"
"113" "196385" "375307"
"114" "3060" "7158"
"115" "7083" "196385"
"116" "6582" "79020"
"117" "29979" "85437"
"118" "79020" "85437"
"119" "79020" "50945"
"120" "23217" "51599"
"121" "85437" "29979"
"122" "84844" "79020"
"123" "196385" "51599"
"124" "7083" "90780"
"125" "79020" "55568"
"126" "81848" "84844"
"127" "7104" "196385"
"128" "7083" "1129"
"129" "90407" "79020"
"130" "10576" "79020"
"131" "90407" "7104"
"132" "377841" "10576"
"133" "1182" "196385"
"134" "90161" "26253"
"135" "79020" "375307"
"136" "377841" "55568"
"137" "84856" "79020"
"138" "3060" "3811"
"139" "8707" "79020"
"140" "3811" "22871"
"141" "375307" "1182"
"142" "84856" "10369"
"143" "1129" "8707"
"144" "338773" "196385"
"145" "55568" "23217"
"146" "7083" "375307"
"147" "85437" "26253"
"148" "7784" "26253"
"149" "7158" "90407"
"150" "3060" "55568"
"151" "79020" "90780"
"152" "114131" "5288"
"153" "7083" "3811"
"154" "196385" "81848"
"155" "81848" "79020"
"156" "10956" "7158"
"157" "114131" "143282"
"158" "7083" "1182"
"159" "29979" "3060"
"160" "114815" "196385"
"161" "3060" "8707"
"162" "3811" "10369"
"163" "196385" "655"
"164" "10369" "79020"
"165" "9049" "5288"
"166" "90407" "85437"
"167" "254531" "23217"
"168" "7158" "377841"
"169" "10956" "5288"
"170" "8707" "377841"
"171" "22871" "254531"
"172" "80835" "196385"
"173" "6582" "26253"
"174" "7083" "5270"
"175" "85437" "375307"
"176" "196385" "5270"
"177" "7083" "23424"
"178" "7158" "9049"
"179" "79020" "143282"
"180" "114131" "1572"
"181" "196385" "81696"
"182" "84844" "196385"
"183" "3811" "3060"
"184" "196385" "377841"
"185" "85437" "6749"
"186" "88455" "81848"
"187" "1182" "50945"
"188" "81848" "55568"
"189" "8707" "171482"
"190" "7158" "22884"
"191" "10296" "79020"
"192" "90780" "196385"
"193" "79074" "10956"
"194" "196385" "10296"
"195" "377841" "84844"
"196" "8707" "26253"
"197" "90407" "254531"
"198" "84844" "8707"
"199" "10956" "85437"
"200" "1129" "50945"
"201" "400224" "26253"
"202" "23217" "88455"
"203" "9049" "79020"
"204" "23217" "22871"
"205" "655" "22871"
"206" "29979" "10956"
"207" "55568" "1129"
"208" "29979" "5288"
"209" "288" "23424"
"210" "55568" "79020"
"211" "196385" "3060"
"212" "22884" "23217"
"213" "7158" "6582"
"214" "3811" "84844"
"215" "79074" "377841"
"216" "84844" "29979"
"217" "196385" "80835"
"218" "196385" "85437"
"219" "29979" "143282"
"220" "50945" "7158"
"221" "377841" "10956"
"222" "375307" "26253"
"223" "7104" "6749"
"224" "7083" "79020"
"225" "84844" "377841"
"226" "7083" "26253"
"227" "7158" "10956"
"228" "23217" "377841"
"229" "7784" "29979"
"230" "26253" "196385"
"231" "79074" "79020"
"232" "7158" "171482"
"233" "90780" "29979"
"234" "377841" "90407"
"235" "1572" "5270"
"236" "196385" "10956"
"237" "22871" "388567"
"238" "23217" "196385"
"239" "88455" "22871"
"240" "10369" "196385"
"241" "1509" "26253"
"242" "7158" "143282"
"243" "10956" "5270"
"244" "79020" "6582"
"245" "254531" "1509"
"246" "10956" "288"
"247" "6749" "10576"
"248" "26253" "254531"
"249" "10296" "196385"
"250" "23424" "85437"
"251" "79074" "7104"
"252" "6731" "26253"
"253" "22871" "196385"
"254" "196385" "388567"
"255" "254531" "23424"
"256" "254531" "7784"
"257" "10956" "81848"
"258" "22871" "6731"
"259" "655" "79020"
"260" "22871" "7104"
"261" "5270" "23424"
"262" "79020" "6749"
"263" "196385" "29979"
"264" "114815" "90407"
"265" "85437" "23217"
"266" "10956" "254531"
"267" "85437" "22871"
"268" "8707" "1182"
"269" "84844" "10956"
