"V1" "V2"
"1" "89" "2047"
"2" "259197" "4712"
"3" "6147" "5834"
"4" "1616" "4712"
"5" "1616" "7205"
"6" "1616" "1146"
"7" "1616" "51588"
"8" "1616" "8764"
"9" "2047" "1719"
"10" "2047" "3702"
"11" "2047" "5894"
"12" "2047" "645490"
"13" "2047" "10992"
"14" "2047" "22987"
"15" "2047" "7168"
"16" "2047" "4035"
"17" "2047" "22801"
"18" "2047" "10666"
"19" "2047" "8387"
"20" "2047" "2538"
"21" "2047" "5834"
"22" "2047" "6427"
"23" "2047" "255967"
"24" "2047" "7205"
"25" "2047" "1146"
"26" "2047" "8717"
"27" "2047" "84674"
"28" "2047" "125981"
"29" "2047" "10152"
"30" "2047" "219453"
"31" "2047" "4090"
"32" "2047" "6135"
"33" "2047" "3312"
"34" "2047" "387082"
"35" "2047" "1816"
"36" "2047" "4306"
"37" "2047" "6505"
"38" "2047" "360"
"39" "2047" "28234"
"40" "2047" "7132"
"41" "2047" "404672"
"42" "2047" "4712"
"43" "2047" "1616"
"44" "7168" "4712"
"45" "4712" "1719"
"46" "4712" "6427"
"47" "4712" "2047"
"48" "4712" "7205"
"49" "4712" "1146"
"50" "4712" "2564"
"51" "4712" "10152"
"52" "4712" "4090"
"53" "4712" "3312"
"54" "4712" "22794"
"55" "4712" "387082"
"56" "4712" "1816"
"57" "4712" "8764"
"58" "4712" "6505"
"59" "4712" "360"
"60" "4712" "1616"
"61" "28234" "4712"
"62" "404672" "4712"
"63" "6427" "6427"
"64" "645490" "4712"
"65" "5663" "4712"
"66" "4035" "4712"
"67" "8387" "4712"
"68" "8764" "4712"
"69" "6505" "2047"
"70" "7205" "4712"
"71" "1146" "7205"
"72" "3633" "4712"
"73" "22794" "7205"
"74" "2538" "4712"
"75" "2538" "1616"
"76" "4306" "4712"
"77" "4306" "2047"
"78" "2564" "3312"
"79" "387082" "4712"
"80" "7132" "4712"
"81" "5268" "2047"
"82" "2047" "55970"
"83" "1616" "5834"
"84" "4712" "10666"
"85" "4712" "10992"
"86" "5605" "5834"
"87" "3702" "2047"
"88" "3312" "4712"
"89" "4712" "5834"
"90" "10666" "4712"
"91" "2047" "89869"
"92" "2564" "7205"
"93" "5605" "6427"
"94" "22801" "6427"
"95" "1616" "2047"
"96" "4712" "3702"
"97" "2047" "5786"
"98" "6505" "4712"
"99" "4712" "8387"
"100" "360" "3312"
"101" "4712" "7473"
"102" "28234" "7168"
"103" "5894" "4712"
"104" "57142" "2564"
"105" "6147" "2047"
"106" "2047" "259197"
"107" "2047" "2564"
"108" "219453" "8764"
"109" "5605" "2538"
"110" "10157" "360"
"111" "6505" "8764"
"112" "8764" "28234"
"113" "6427" "2047"
"114" "2564" "404672"
"115" "22794" "1719"
"116" "2538" "3312"
"117" "10992" "2047"
"118" "22794" "5268"
"119" "8764" "2047"
"120" "2538" "255967"
"121" "5834" "2047"
"122" "2047" "8764"
"123" "10152" "6505"
"124" "5663" "3702"
"125" "7205" "5834"
"126" "22987" "2047"
"127" "10157" "10152"
"128" "2047" "3633"
"129" "2047" "5228"
"130" "5834" "6135"
"131" "6427" "2538"
"132" "2538" "2047"
"133" "7205" "2047"
"134" "404672" "22987"
"135" "7205" "22794"
"136" "28234" "8387"
"137" "7205" "4090"
"138" "7205" "6135"
"139" "4712" "7132"
"140" "2564" "2047"
"141" "89869" "4712"
"142" "8387" "2047"
"143" "28234" "2047"
"144" "5605" "3702"
"145" "404672" "22801"
"146" "22801" "4712"
"147" "22794" "8764"
"148" "89869" "3312"
"149" "5605" "2047"
"150" "1616" "89"
"151" "5663" "22794"
"152" "22987" "6427"
"153" "10992" "4712"
"154" "360" "1616"
"155" "22794" "4712"
"156" "5834" "5894"
"157" "5605" "3312"
"158" "89" "4035"
"159" "57142" "1146"
"160" "7168" "3312"
"161" "4712" "2538"
"162" "8764" "3312"
"163" "645490" "10152"
"164" "57142" "4712"
"165" "5834" "5268"
"166" "7205" "8764"
"167" "10992" "6135"
"168" "7205" "404672"
"169" "3312" "22794"
"170" "26999" "5268"
"171" "2564" "125981"
"172" "8764" "360"
"173" "5268" "28234"
"174" "26999" "1616"
"175" "4712" "404672"
"176" "5663" "84674"
"177" "4712" "57142"
"178" "26999" "4712"
"179" "1816" "2047"
"180" "255967" "4712"
"181" "404672" "259197"
"182" "5268" "3633"
"183" "22794" "4090"
"184" "55970" "2538"
"185" "1616" "10666"
"186" "51588" "4712"
"187" "219453" "2564"
"188" "7132" "3312"
"189" "5663" "2047"
"190" "1616" "360"
"191" "1146" "6427"
"192" "5605" "8764"
"193" "1146" "6505"
"194" "360" "4712"
"195" "8717" "4712"
"196" "5605" "7168"
"197" "5228" "22801"
"198" "28234" "6135"
"199" "6505" "3312"
"200" "4712" "10157"
"201" "3633" "219453"
"202" "1616" "3702"
"203" "1146" "404672"
"204" "8764" "8717"
"205" "404672" "10992"
"206" "5268" "7205"
"207" "1146" "51588"
"208" "1146" "4090"
"209" "404672" "645490"
"210" "360" "404672"
"211" "5605" "219453"
"212" "2538" "125981"
"213" "7205" "89869"
"214" "5894" "3312"
"215" "2564" "4712"
"216" "5268" "125981"
"217" "404672" "4090"
"218" "2047" "390648"
"219" "26999" "7205"
"220" "6427" "4306"
"221" "4712" "219453"
"222" "390648" "1143"
"223" "4712" "4035"
"224" "5228" "28234"
"225" "1616" "219453"
"226" "5834" "6505"
"227" "51588" "2047"
"228" "1146" "22987"
"229" "89869" "22794"
"230" "2047" "5268"
"231" "8387" "10666"
"232" "387082" "84674"
"233" "6427" "6135"
"234" "4712" "5894"
"235" "8764" "255967"
"236" "4712" "89869"
"237" "2047" "22794"
"238" "6427" "10157"
"239" "26999" "2047"
"240" "404672" "1146"
"241" "4712" "89"
"242" "3633" "5786"
"243" "1146" "5268"
"244" "10666" "3312"
"245" "4712" "5268"
"246" "1616" "57142"
"247" "5605" "645490"
"248" "6427" "4712"
"249" "89" "4090"
"250" "5834" "5228"
"251" "4712" "390648"
"252" "4712" "28234"
"253" "2564" "51588"
"254" "22794" "2538"
"255" "8717" "6135"
"256" "125981" "1146"
"257" "360" "51588"
"258" "6505" "10992"
"259" "5605" "3456"
"260" "1616" "3312"
"261" "7473" "5786"
"262" "5268" "2538"
"263" "8764" "8387"
"264" "4035" "22794"
"265" "10666" "404672"
"266" "22794" "51588"
